air_temperature,process_temperature,rotational_speed,torque,tool_wear,target
300.11,310.95,1476.8,47.82,210.9,1
297.13,306.64,1454.2,47.42,192.4,0
303.27,313.13,1648.3,53.42,178.1,1
296.71,306.01,1540.6,26.61,28.4,0
298.8,310.17,1479.6,50.58,232.2,1
300.37,309.42,1482.4,40.53,125.7,0
303.08,313.6,1606.9,29.41,78.3,0
302.75,312.03,1521.4,34.91,107.3,0
302.5,314.28,1618.7,45.64,32.7,0
303.1,315.01,1463.0,49.28,229.7,1
298.8,307.84,1566.2,25.62,166.3,0
299.96,310.19,1370.7,24.67,32.3,0
297.31,307.81,1576.3,53.89,222.0,1
298.04,306.84,1479.0,19.35,108.4,1
301.91,311.85,1132.9,32.24,98.7,0
301.01,310.29,1585.5,33.81,62.2,0
299.08,307.76,1701.4,54.31,91.3,1
302.32,312.82,1495.0,27.49,31.3,0
300.56,310.36,1768.7,27.74,136.7,0
298.02,308.86,1902.1,46.87,144.0,1
297.79,309.18,1534.8,28.29,121.4,0
301.49,310.36,1353.4,36.42,94.7,0
297.61,307.5,1589.0,63.88,78.8,1
302.99,314.27,1403.8,42.03,3.8,0
298.29,308.22,1365.2,42.69,155.3,0
299.36,307.39,1551.5,32.21,187.4,0
300.96,310.92,1625.3,54.7,185.4,1
300.23,310.85,1920.1,50.48,173.6,1
302.82,313.66,1508.6,58.34,128.3,1
299.52,310.72,1576.4,26.68,233.4,1
301.08,311.51,1564.8,34.97,101.8,0
299.42,309.57,1486.1,24.55,144.6,0
300.05,309.55,1663.8,19.32,72.5,1
300.72,310.33,1470.8,31.75,210.8,1
300.15,310.2,1413.4,40.12,110.9,0
300.13,310.36,1712.0,36.42,232.6,0
301.19,311.67,1427.2,34.72,200.1,0
299.78,307.87,1294.8,29.87,133.3,1
296.48,307.14,1606.5,44.61,119.0,0
296.52,305.99,1323.4,41.17,185.1,0
300.92,309.34,1426.1,52.83,238.0,1
299.99,310.04,1316.9,41.0,178.2,0
301.32,310.65,1296.1,41.86,109.8,0
298.29,307.93,1456.5,36.95,62.0,0
299.59,312.46,1403.2,35.56,185.1,0
299.93,308.97,1341.6,37.24,114.6,0
297.55,308.32,1535.9,33.71,118.0,0
303.15,313.91,1563.3,51.63,196.6,0
299.23,308.36,1567.0,50.2,73.8,0
296.99,305.95,1611.2,41.08,24.1,0
296.77,308.58,1527.1,20.91,93.5,1
301.91,313.95,1485.0,63.18,219.5,1
298.82,308.91,1300.6,45.06,157.2,0
303.45,313.09,1551.2,34.41,16.0,0
300.37,309.83,1871.2,40.02,216.7,0
300.75,310.26,1747.6,57.41,47.8,1
300.55,309.72,1509.9,43.37,173.8,0
304.38,313.97,1585.2,49.07,181.3,0
304.33,313.5,1678.2,44.0,166.4,0
296.08,305.57,1502.6,23.05,104.7,0
300.12,308.9,1600.6,53.64,140.2,0
301.46,311.36,1315.3,25.39,27.1,1
300.21,308.85,1512.8,30.76,21.7,0
300.5,310.33,1528.3,58.92,128.0,1
294.82,304.65,1681.2,48.64,134.0,0
299.63,309.49,1582.7,47.22,42.2,0
300.47,311.94,1349.7,33.92,69.9,0
298.99,308.46,1702.0,38.35,60.0,0
301.26,309.76,1411.2,34.14,84.4,0
301.02,310.48,1349.3,37.52,207.9,0
297.6,308.08,1643.9,41.24,116.1,0
297.44,307.9,1617.3,36.07,19.8,0
301.47,310.6,1519.6,46.75,45.8,0
297.45,306.52,1580.3,33.93,189.9,0
302.01,310.77,1503.0,34.83,46.1,0
299.53,309.46,1460.9,28.03,92.4,0
301.44,311.34,1552.6,38.16,117.9,0
302.16,311.21,1522.4,48.44,155.3,0
299.96,311.95,1328.8,20.53,65.3,1
299.94,310.28,1808.3,46.1,40.2,0
302.68,313.98,1553.1,51.28,58.5,0
302.09,312.55,1614.1,38.11,118.7,0
300.74,309.8,1707.6,28.26,111.1,0
298.79,309.29,1635.4,45.72,173.8,0
296.68,305.75,1689.2,44.6,52.7,0
297.99,308.15,1758.6,47.6,32.5,0
299.03,309.82,1605.0,43.06,199.4,0
304.15,313.89,1257.6,36.82,228.0,0
301.43,311.74,1644.5,41.43,124.0,0
302.21,310.78,1551.9,43.33,70.5,0
302.35,312.55,1541.1,39.73,80.1,0
302.44,310.89,1497.2,47.24,52.8,0
298.95,309.34,1379.1,51.91,209.4,0
298.37,308.65,1634.6,25.25,190.0,0
299.27,309.7,1686.2,28.66,213.1,0
302.21,310.11,1531.9,44.61,136.4,0
302.76,313.27,1367.7,32.92,195.7,0
298.67,309.5,1457.0,54.9,35.5,0
299.11,310.02,1302.5,53.49,139.5,0
298.15,307.15,1255.0,43.86,176.0,0
298.91,308.01,1492.7,33.7,205.1,1
299.76,310.74,1508.7,17.54,78.7,1
298.82,307.92,1297.9,39.43,238.7,1
302.18,311.0,1440.1,32.09,87.1,0
298.89,309.72,1945.8,32.45,150.6,0
300.32,311.03,1369.4,34.0,147.8,0
301.42,312.18,1307.0,22.45,208.7,1
300.35,310.54,1156.1,12.87,40.8,1
299.73,310.16,1414.2,32.73,77.0,0
297.3,306.24,1542.2,43.33,26.5,0
299.92,310.15,1407.9,24.78,143.0,0
300.07,310.81,1833.9,27.31,51.1,0
301.66,310.86,1464.5,31.2,43.4,0
300.95,310.63,1461.6,30.82,88.0,0
300.39,308.62,1427.8,48.17,178.3,0
