air_temperature,process_temperature,rotational_speed,torque,tool_wear,target
300.99,310.32,1399.8,28.86,7.8,0
299.72,309.58,1533.0,33.69,115.0,0
301.3,310.5,1540.9,30.58,226.5,0
303.05,312.74,1613.6,34.52,97.4,0
299.53,307.64,1319.3,37.86,153.1,1
299.53,309.75,1632.8,48.37,191.1,0
303.16,313.16,1105.3,36.79,192.1,0
301.53,310.72,1437.2,24.14,127.2,0
299.06,309.72,1459.9,51.4,210.2,1
301.09,312.02,1639.3,31.63,95.9,0
299.07,307.47,1541.6,39.41,217.7,0
299.07,308.31,1313.1,44.47,58.9,0
300.48,309.71,1380.4,42.0,68.7,0
296.17,305.23,1569.8,50.94,13.0,0
296.55,307.38,1525.3,44.79,194.9,0
298.88,308.68,1445.3,31.39,102.2,0
297.97,307.71,1461.1,61.79,56.1,1
300.63,308.62,1649.4,41.94,56.8,0
298.18,308.82,1455.2,38.53,220.8,1
297.18,305.94,1523.9,49.64,204.3,1
302.93,312.99,1885.2,42.49,135.6,0
299.55,309.83,1310.2,43.99,150.9,0
300.14,311.5,1241.7,64.92,116.2,0
297.15,305.84,1663.4,37.25,96.0,0
298.91,305.89,1429.4,36.82,224.3,1
300.22,310.41,1487.1,41.17,30.8,0
297.7,309.5,1413.0,50.72,102.5,0
300.75,311.99,1496.4,24.93,84.4,0
298.8,309.01,1793.8,20.34,122.0,0
299.42,308.92,1666.3,34.13,112.1,0
298.8,309.6,1676.0,23.66,127.1,0
303.7,312.73,1311.4,35.75,34.3,0
299.97,310.45,1353.8,45.02,125.7,0
297.88,308.39,1100.0,31.09,59.4,0
301.65,312.71,1408.5,25.73,45.2,0
297.56,310.32,1691.1,40.69,15.9,0
300.42,310.81,1620.7,48.63,186.8,0
296.08,305.57,1502.6,23.05,104.7,0
297.34,307.32,1534.4,48.2,153.5,0
300.39,308.62,1427.8,48.17,178.3,0
301.48,310.78,1570.8,49.54,166.4,0
300.34,309.93,1660.5,52.18,115.3,1
299.77,309.24,1279.5,62.02,95.0,0
299.4,309.55,1585.9,36.44,92.1,0
297.04,306.22,1687.2,41.1,156.8,0
298.56,309.68,1471.6,35.84,121.2,0
299.08,309.08,1650.1,40.02,208.0,0
302.11,312.1,1988.3,55.33,214.3,1
300.69,310.36,1521.3,26.55,41.8,0
296.47,306.63,1600.9,31.39,33.4,0
300.65,311.47,1419.9,53.77,154.4,0
299.23,308.36,1567.0,50.2,73.8,0
298.65,307.99,1611.6,36.37,4.5,0
301.22,310.92,1569.2,48.54,217.7,0
302.06,310.72,1374.8,43.41,55.6,0
301.86,311.04,1571.0,55.0,227.7,1
298.32,307.85,1772.0,40.75,175.8,0
299.38,310.26,1609.8,50.26,186.9,0
300.66,310.93,1691.9,66.42,49.4,1
301.95,312.14,1500.1,45.98,57.4,0
299.04,309.89,1658.0,40.49,127.7,0
299.63,309.49,1582.7,47.22,42.2,0
297.79,308.18,1385.9,36.35,74.8,0
297.61,307.5,1589.0,63.88,78.8,1
301.63,311.89,1379.3,41.8,39.1,0
302.71,312.13,1436.7,37.27,50.3,0
299.86,307.42,1568.3,31.64,193.2,0
302.01,311.87,1585.6,50.97,41.0,0
300.72,312.15,1347.7,48.67,7.0,0
298.71,309.64,1706.6,35.03,154.2,0
300.72,311.69,1629.5,45.76,239.1,0
303.08,314.31,1425.2,24.91,81.1,0
299.93,310.02,1292.0,41.85,29.1,0
303.13,313.33,1514.8,44.53,139.7,0
294.76,304.14,1466.6,57.07,222.1,1
301.64,311.33,1556.1,32.29,192.1,0
300.17,310.79,1479.9,27.22,152.5,0
299.4,310.61,1216.8,31.05,77.2,0
300.18,310.04,1475.9,26.63,132.8,0
296.02,305.57,1489.1,53.37,22.4,0
299.56,309.56,1639.4,55.49,166.3,1
300.71,311.32,1426.3,43.2,177.6,0
302.96,311.51,1806.6,52.21,236.4,1
298.96,306.67,1232.1,41.34,63.8,1
298.38,307.83,1747.8,39.05,4.5,0
299.0,307.78,1502.1,36.67,133.7,0
301.83,311.32,1675.5,36.9,173.2,0
300.66,310.51,1550.8,24.52,193.6,0
298.94,308.49,1720.3,42.64,47.5,0
301.03,312.48,1476.0,39.6,64.1,0
300.19,310.52,1362.2,47.45,125.6,0
301.94,312.24,1765.3,40.94,81.0,0
298.6,309.22,1519.8,38.37,210.8,1
299.34,308.21,1573.4,31.29,116.1,0
299.22,310.25,1735.6,40.72,195.9,0
297.07,307.0,1372.9,47.38,142.3,0
300.59,311.26,1633.3,28.57,189.4,0
300.52,309.45,1443.6,40.87,81.5,0
300.01,308.46,1516.9,42.33,203.7,1
299.53,310.35,1549.6,32.82,67.3,0
297.17,307.55,1298.0,34.12,133.8,0
299.16,308.26,1413.4,42.31,52.4,0
299.31,308.44,1754.2,28.67,116.5,0
298.4,309.52,1679.8,43.5,78.0,0
299.68,308.49,1528.0,31.05,65.3,0
300.81,312.45,1576.9,50.63,236.9,1
303.77,312.87,1490.9,63.38,39.2,1
300.35,310.99,1755.1,31.39,192.9,0
300.52,310.19,1505.9,45.34,241.1,1
299.85,310.45,1575.1,32.73,4.9,0
296.16,305.62,1721.4,50.41,171.3,1
299.95,309.78,1413.6,27.35,62.0,0
300.12,310.16,1787.4,44.81,9.9,0
304.93,313.92,1293.1,31.27,98.7,0
299.62,310.36,1798.7,37.93,229.1,0
300.6,310.09,1478.4,29.69,2.9,0
299.93,309.7,1499.2,48.22,144.0,0
297.66,306.67,1235.6,31.63,122.8,0
302.29,309.72,1465.2,45.52,214.0,0
301.5,311.31,1371.6,36.56,20.6,0
301.58,313.99,1440.8,38.86,167.0,0
298.18,308.97,1516.0,41.48,166.6,0
302.81,312.79,1691.2,32.38,163.9,0
297.2,306.93,1571.2,42.1,230.9,1
301.17,311.2,1587.2,55.3,201.7,1
304.38,314.93,1362.7,32.22,10.3,0
298.02,306.84,1397.1,51.72,115.4,0
298.87,309.98,1825.8,54.98,97.5,1
300.2,310.91,1420.4,31.84,76.0,0
298.99,309.71,1803.0,25.45,110.6,0
296.9,307.34,1499.1,43.02,94.1,0
300.14,310.16,1538.4,34.53,105.9,0
297.88,308.55,1709.3,58.69,239.9,1
300.95,311.54,1741.5,40.35,21.7,0
298.16,307.81,1520.3,31.98,225.9,1
303.1,312.53,1475.9,28.53,117.7,0
298.43,308.54,1529.1,50.9,152.8,0
299.36,310.9,1592.1,34.29,203.4,0
301.63,310.39,1680.6,40.44,88.3,0
297.54,306.07,1538.7,49.56,105.5,0
300.45,310.62,1637.0,35.16,100.3,0
302.61,312.67,1800.1,39.54,91.8,0
296.79,306.96,1599.0,39.83,226.8,1
300.37,310.61,1587.9,46.83,203.1,0
300.52,310.3,1295.0,45.91,26.7,0
301.56,313.05,1117.1,37.8,26.5,0
297.53,305.93,1600.1,40.64,104.8,0
297.36,306.53,1522.8,36.28,24.2,0
301.04,310.94,1455.6,25.22,151.7,0
300.59,308.95,1577.0,42.58,35.2,0
